,srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat-in-days
398,2879065,C,1,400059,233,233,131,A,ADLD,400060,2017-12-16,2016-01-21,2018-02-16,4545,2018-03-09,17.309351530857384
399,3021999,AJ,27,110034,0,233,131,A,ADLD,110024,2017-11-22,2017-11-21,2018-03-26,4388,2018-03-29,11.491694853641093
400,3021999,AJ,27,110034,308,233,131,A,ADLD,110024,2017-11-22,2017-11-21,2018-03-26,4388,2018-03-29,10.67355430778116
401,3068044,C,5,380009,233,245,131,B,ADLD,395002,2017-12-06,2017-12-06,2018-04-09,4546,2018-04-14,12.570816646330059
402,2900293,C,2,110018,233,233,131,A,ADLD,201308,2017-11-18,2017-11-18,2018-02-23,4091,2018-02-27,13.2507019136101
403,3020706,C,2,110018,233,233,228,A,ADLD,122001,2017-08-18,2017-03-14,2018-03-26,4550,2018-04-07,10.886207341216505
404,3067209,AJ,27,110034,233,233,228,A,ADLD,121004,2018-02-26,2017-05-24,2018-04-09,4388,2018-04-12,9.025888034142554
405,2883896,AN,21,110015,233,233,131,A,ADLD,302013,2017-11-21,2017-11-17,2018-02-18,4580,2018-02-23,11.158661400899291
406,2864709,AN,22,400104,233,233,131,B,ADLD,462022,2016-04-13,2016-04-09,2018-02-12,4581,2018-02-15,16.875619052909315
407,2906594,AN,7,500004,233,233,131,B,ADLD,533103,2017-02-18,2016-07-09,2018-02-25,4403,2018-02-27,14.899043542332947
408,2943447,AN,3,560011,233,233,131,A,ADLD,560100,2017-09-30,2017-09-28,2018-03-05,4467,2018-03-07,11.495939088054001
409,2945009,AJ,2,110018,233,233,131,A,ADLD,110034,2017-05-13,2017-05-13,2018-03-06,4388,2018-03-08,12.182897118851542
410,2934106,AN,22,400104,233,233,131,C,ADLD,490006,2017-05-31,2017-05-29,2018-03-03,4581,2018-03-08,14.169726042076945
411,2881017,AJ,2,110018,233,233,131,A,ADLD,110096,2017-03-12,2017-03-12,2018-02-17,4388,2018-03-12,13.41348212491721
412,2974797,C,2,110018,0,233,131,A,ADLD,110059,2017-04-21,2017-04-21,2018-03-13,4550,2018-03-21,12.206383430399
413,2988473,AJ,17,800001,233,233,228,C,ADLD,826001,2017-06-18,2017-03-12,2018-03-16,4370,2018-03-24,13.466266937553883
414,3016907,C,2,110018,233,233,228,A,ADLD,201301,2018-02-11,2017-10-05,2018-03-25,4091,2018-03-27,11.59494900982827
415,3037647,AJ,27,110034,233,233,131,A,ADLD,110014,2017-05-03,2017-05-02,2018-03-30,4388,2018-04-03,9.93243473675102
416,3055020,AN,21,110015,233,233,131,C,ADLD,127201,2017-06-01,2017-02-09,2018-04-04,4580,2018-04-09,11.09902183804661
417,3058899,AD,2,110018,233,233,131,A,ADLD,110031,2017-12-28,2017-12-11,2018-04-05,4148,2018-04-15,12.034475130960345
418,3070403,C,1,400059,233,233,131,A,ADLD,400078,2017-06-09,2017-06-09,2018-04-10,4545,2018-04-13,8.646157016977668
419,3035154,AN,21,110015,233,245,131,A,ADLD,110031,2017-04-11,2017-04-07,2018-03-29,4580,2018-04-01,8.43553479295224
420,2940552,AN,8,700064,233,233,228,A,ADLD,700002,2018-01-05,2017-12-23,2018-03-05,4508,2018-03-08,11.321648416109383
421,2850973,AN,22,400104,233,233,131,A,ADLD,400015,2017-02-06,2017-02-03,2018-02-08,4581,2018-02-20,11.400135257281363
422,2895955,J,2,110018,233,233,131,B,ADLD,395009,2017-08-20,2017-08-15,2018-02-22,4154,2018-02-28,16.962546127848327
423,2983999,AN,22,400104,201,233,131,D,ADLD,431606,2018-02-06,2018-02-03,2018-03-15,4581,2018-03-18,16.13848311919719
424,2846306,C,4,600024,233,233,131,A,ADLD,600112,2017-02-23,2017-02-09,2018-02-06,4483,2018-02-11,11.765825217589736
425,3025264,AN,21,110015,233,233,131,B,ADLD,144005,2017-10-03,2017-09-28,2018-03-27,4580,2018-04-08,12.24155343323946
426,2839892,AN,8,700064,233,233,131,A,ADLD,700067,2017-07-29,2017-07-13,2018-02-05,4508,2018-02-20,11.330660202540457
427,3010965,AJ,8,700064,233,233,131,A,ADLD,700029,2017-10-05,2017-10-04,2018-03-23,4499,2018-04-01,10.24076937418431
428,2884719,AJ,6,160059,233,233,131,B,ADLD,160045,2017-05-15,2017-05-14,2018-02-19,4437,2018-03-03,15.85068675968796
429,2849093,C,1,400059,233,233,131,A,ADLD,400057,2017-09-29,2017-09-29,2018-02-07,4545,2018-02-13,11.056317727081478
430,2862026,C,2,110018,233,233,131,A,ADLD,110030,2015-10-28,2015-10-26,2018-02-12,4094,2018-02-16,19.084999213926494
431,2987791,C,8,700064,233,233,131,A,ADLD,700024,2017-09-21,2017-09-15,2018-03-16,4511,2018-03-19,11.64961931295693
432,3005622,C,2,110018,308,233,228,A,ADLD,122018,2018-01-31,2018-01-29,2018-03-22,4091,2018-03-27,12.73246745672077
433,3004922,C,8,700064,233,233,131,B,ADLD,734001,2017-08-08,2017-08-08,2018-03-21,4511,2018-03-29,14.219231132417917
434,3064439,AN,21,110015,233,233,131,B,ADLD,123501,2017-08-01,2017-07-04,2018-04-07,4580,2018-04-14,11.247422071173787
435,2854280,AE,2,110018,233,233,131,B,ADLD,201206,2017-07-15,2017-01-15,2018-02-09,4093,2018-02-15,19.932824811898172
436,2885668,AN,22,400104,233,0,131,A,ADLD,400607,2017-07-24,2018-03-05,2018-02-19,4581,2018-02-21,14.674601640552282
437,2885668,AN,22,400104,233,0,131,A,ADLD,400607,2017-07-24,2018-03-05,2018-02-19,4581,2018-02-21,14.674601640552282
438,2885668,AN,22,400104,233,233,131,A,ADLD,400607,2017-07-24,2018-03-05,2018-02-19,4581,2018-02-21,11.946421875618398
439,2820881,AN,7,500004,233,233,131,B,ADLD,530024,2016-05-02,2016-04-21,2018-01-30,4403,2018-02-23,20.352488472126424
440,2890218,AI,8,700064,233,233,131,A,ADLD,700039,2018-01-04,2018-01-04,2018-02-20,4499,2018-02-22,13.05386516917497
441,2882414,AI,17,800001,233,233,131,C,ADLD,834001,2018-02-08,2018-02-08,2018-02-17,4370,2018-02-22,16.413022369146347
442,2939002,AN,21,110015,233,233,131,A,ADLD,110092,2017-06-19,2017-06-17,2018-03-04,4580,2018-03-07,11.768861384131014
443,2893426,AI,12,302006,233,233,131,A,ADLD,302002,2017-10-30,2017-10-27,2018-02-21,4407,2018-03-09,14.239158497191966
444,2957519,AN,21,110015,201,233,131,0,ADLD,244302,2018-01-05,2018-01-03,2018-03-08,4580,2018-03-12,16.687348395586014
445,2961596,AJ,8,700064,233,233,131,A,ADLD,700016,2017-05-02,2017-05-02,2018-03-09,4499,2018-03-12,11.192093330435455
446,2969955,AN,22,400104,233,233,131,A,ADLD,400004,2016-04-29,2016-04-23,2018-03-11,4581,2018-03-14,14.380216782912612
447,3003306,AJ,23,400001,233,233,228,A,ADLD,411039,2017-08-04,2017-07-31,2018-03-21,4398,2018-03-23,10.783035433851182
448,3008317,AJ,23,400001,233,233,131,A,ADLD,401208,2017-11-03,2017-10-22,2018-03-22,4398,2018-03-31,10.275399546138942
449,3013847,AJ,27,110034,233,233,131,B,ADLD,281001,2018-02-26,2018-02-21,2018-03-24,4388,2018-04-06,12.814083056524396
450,3091541,AN,21,110015,233,233,131,C,ADLD,122022,2017-11-25,2017-11-23,2018-04-17,4580,2018-04-20,8.444911628961563
451,2881093,AJ,3,560011,233,245,131,A,ADLD,560061,2017-08-05,2017-08-05,2018-02-17,4460,2018-02-19,10.083801218308508
452,2999739,R,1,400059,201,201,131,0,ADLD,322230,2016-12-31,2016-12-31,2018-03-20,4011,2018-03-28,21.74762177094817
453,2853460,AJ,7,500004,233,233,131,C,ADLD,531033,2018-01-15,2017-07-10,2018-02-08,4474,2018-02-10,12.822587333619595
454,2863205,C,12,302006,233,233,228,C,ADLD,335001,2018-01-16,2017-07-14,2018-02-12,4453,2018-02-20,14.297579988837242
455,2972394,AN,21,110015,233,233,131,A,ADLD,110042,2018-02-03,2018-02-02,2018-03-12,4580,2018-03-18,11.017786647193134
456,2944507,AJ,6,160059,233,233,228,B,ADLD,160022,2018-02-17,2018-02-10,2018-03-06,4437,2018-03-18,16.60860105138272
457,2988396,C,6,160059,233,233,131,C,ADLD,143001,2018-02-20,2017-02-20,2018-03-16,4549,2018-03-19,13.596234594471753
458,2867079,AA,3,560011,233,233,131,A,ADLD,560037,2017-08-27,2017-02-07,2018-02-13,4467,2018-02-18,15.340245927684009
459,2867079,AN,3,560011,233,233,131,A,ADLD,560037,2017-08-27,2017-08-05,2018-02-13,4467,2018-02-18,10.844673584215343
460,2880608,AN,7,500004,233,233,228,B,ADLD,520003,2017-10-24,2017-10-21,2018-02-17,4403,2018-02-23,14.693884081207216
461,3064994,AA,7,500004,233,233,228,A,ADLD,500016,2017-10-24,2017-07-11,2018-04-07,4479,2018-04-09,14.12820119317621
462,2949167,AN,22,400104,233,233,131,B,ADLD,452001,2017-05-29,2017-05-24,2018-03-07,4581,2018-03-11,14.708881717175245
463,2948495,AN,8,700064,233,233,131,A,ADLD,700073,2018-03-01,2017-07-05,2018-03-07,4508,2018-03-31,9.593647102825344
464,3063867,C,2,110018,233,233,228,A,ADLD,122001,2018-03-18,2017-01-16,2018-04-07,4094,2018-04-12,11.085319782607257
465,3021561,U,2,110018,233,233,228,A,ADLD,500006,2017-12-07,2017-09-26,2018-03-26,4540,2018-04-11,10.722749202512205
466,2820038,AN,21,110015,233,233,131,A,ADLD,110002,2016-04-18,2016-04-16,2018-01-30,4580,2018-02-01,12.661029127426445
467,2847877,AN,21,110015,233,233,131,A,ADLD,110051,2017-04-15,2017-04-13,2018-02-07,4580,2018-02-13,10.779668619856238
468,2865079,AN,21,110015,233,233,131,B,ADLD,202002,2017-11-11,2017-11-09,2018-02-12,4580,2018-02-19,15.183446355164051
469,2900423,AN,21,110015,233,233,228,A,ADLD,302021,2017-12-25,2017-02-19,2018-02-23,4580,2018-03-07,13.336141851730645
470,2990737,AN,26,560066,233,233,131,A,ADLD,560066,2017-04-30,2017-03-18,2018-03-17,5001,2018-03-21,11.820356135256588
471,2990737,AN,26,560066,233,233,131,A,ADLD,560066,2017-04-30,2016-07-12,2018-03-17,5001,2018-03-21,11.553394408896565
472,3029858,AJ,25,560037,233,233,228,A,ADLD,560064,2017-09-05,2016-11-12,2018-03-28,4460,2018-03-28,9.927659920416772
473,2991326,AN,22,400104,233,233,131,B,ADLD,389330,2017-11-18,2017-11-16,2018-03-17,4581,2018-03-27,13.886689190752804
474,3044525,AN,22,400104,233,233,131,B,ADLD,440022,2017-10-19,2017-10-17,2018-04-01,4581,2018-04-04,13.354180310852826
475,3059193,C,2,110018,233,233,131,A,ADLD,110096,2017-04-13,2017-04-13,2018-04-06,4550,2018-04-11,9.526210411451757
476,2983302,AI,23,400001,233,245,131,B,ADLD,395006,2017-12-28,2017-12-28,2018-03-15,4398,2018-03-19,16.704128651879728
477,2873245,Y,6,160059,233,233,131,B,ADLD,160019,2018-01-18,2018-01-18,2018-02-15,4673,2018-03-19,20.907764094881713
478,2837265,AN,22,400104,233,233,131,B,ADLD,440009,2017-03-04,2017-03-03,2018-02-03,4581,2018-02-04,13.847431872971356
479,2844359,AJ,5,380009,233,233,131,A,ADLD,380051,2017-08-23,2017-04-28,2018-02-06,4422,2018-02-12,11.259126176126301
480,2893370,AN,2,110018,233,233,228,A,ADLD,110075,2017-05-21,2017-02-18,2018-02-21,4147,2018-02-23,12.484956161119044
481,3050376,AM,1,400059,233,233,131,A,ADLD,380051,2018-01-02,2018-01-02,2018-04-03,4018,2018-04-14,13.760605248622596
482,2983420,AD,3,560011,233,245,131,B,ADLD,570016,2017-12-20,2017-07-09,2018-03-15,4468,2018-03-18,16.65765843167901
483,2973415,AN,21,110015,233,233,131,C,ADLD,143001,2017-07-20,2017-07-07,2018-03-13,4580,2018-03-17,13.156473896466196
484,2941814,C,10,226010,233,233,131,B,ADLD,243001,2018-02-06,2017-05-25,2018-03-05,4547,2018-03-09,16.20689930487424
485,3048230,AN,21,110015,308,233,131,A,ADLD,110030,2016-08-25,2016-08-23,2018-04-02,4580,2018-04-06,12.488724331371486
486,2940204,AD,8,700064,233,233,131,A,ADLD,711101,2017-04-25,2018-04-05,2018-03-05,4499,2018-03-09,13.285350766964257
487,2822818,AN,8,700064,233,233,131,A,ADLD,700001,2016-08-01,2016-05-11,2018-01-31,4508,2018-02-02,12.83492310717702
488,2838596,AN,21,110015,233,233,131,A,ADLD,201301,2017-07-07,2017-06-29,2018-02-04,4580,2018-02-13,10.895784945227206
489,2848163,AJ,12,302006,233,233,131,A,ADLD,302012,2017-07-13,2017-05-02,2018-02-07,4407,2018-02-19,11.285898089408875
490,2879698,C,6,160059,233,233,228,B,ADLD,160030,2017-12-06,2016-11-25,2018-02-17,4549,2018-02-19,14.66713347658515
491,2931443,G,1,400059,233,233,131,A,ADLD,110039,2017-07-26,2017-07-24,2018-03-03,4011,2018-03-07,18.292358648963273
492,2978646,C,4,600024,233,233,131,B,ADLD,620001,2017-11-04,2017-11-03,2018-03-14,4492,2018-03-20,15.848473563790321
493,2977403,A,2,110018,308,233,131,A,ADLD,110051,2017-04-28,2017-03-06,2018-03-13,4091,2018-03-20,13.78873469028622
494,3017262,C,12,302006,233,233,131,A,ADLD,302022,2017-12-17,2017-12-15,2018-03-25,4453,2018-03-27,12.126829584129155
495,3042076,AN,22,400104,233,233,131,A,ADLD,380006,2017-06-12,2017-06-10,2018-03-31,4581,2018-04-04,9.285124528221786
496,3008475,C,2,110018,233,233,131,B,ADLD,131001,2018-02-05,2017-12-21,2018-03-22,4550,2018-04-04,13.032920808531344
497,3050330,AJ,27,110034,233,233,228,A,ADLD,110029,2018-03-09,2018-03-02,2018-04-03,4388,2018-04-10,9.874418673105538
498,3038213,AJ,27,110034,233,245,131,A,ADLD,110025,2017-12-13,2017-12-13,2018-03-30,4388,2018-04-09,9.806283918209374
499,2920840,Y,1,400059,233,233,131,A,ADLD,400051,2017-12-14,2017-12-13,2018-02-27,4581,2018-03-07,16.779187710024416
500,2969023,AA,24,110092,233,233,131,A,ADLD,110072,2018-01-27,2018-01-07,2018-03-10,4150,2018-03-13,16.539122520014644
501,2961591,AM,2,110018,233,233,131,A,ADLD,110067,2017-05-08,2017-05-07,2018-03-09,4092,2018-03-14,15.781953680329025
502,3059009,AN,6,160059,233,233,131,B,ADLD,160019,2017-10-06,2017-10-01,2018-04-05,4441,2018-04-11,12.550546875223517
503,2883293,AN,4,600024,233,233,131,B,ADLD,607402,2017-11-18,2017-11-16,2018-02-18,4490,2018-02-21,14.92400521878153
504,2934920,AN,7,500004,233,233,131,B,ADLD,530017,2017-10-20,2017-10-18,2018-03-03,4403,2018-03-07,15.668764798901975
505,2990164,AN,22,400104,308,233,131,A,ADLD,400083,2017-07-24,2016-10-01,2018-03-17,4581,2018-03-21,10.328869787976146
506,2990164,AN,22,400104,308,233,131,A,ADLD,400083,2017-07-24,2017-07-20,2018-03-17,4581,2018-03-21,10.32465891726315
507,3031453,AJ,27,110034,233,233,131,B,ADLD,131021,2017-12-26,2017-12-19,2018-03-28,4388,2018-03-31,14.105458448641002
508,3030208,AJ,25,560037,201,233,131,0,ADLD,683543,2017-06-05,2017-05-10,2018-03-28,4460,2018-04-09,11.810859388671815
509,2924766,AJ,2,110018,233,233,228,A,ADLD,110075,2017-12-29,2017-07-21,2018-02-28,4388,2018-03-04,12.787918342277408
510,2930751,AN,22,400104,233,233,131,A,ADLD,400098,2017-12-26,2017-12-16,2018-03-02,4581,2018-03-06,12.162262449972332
511,3012230,AJ,8,700064,233,233,131,A,ADLD,700072,2017-08-26,2017-04-01,2018-03-23,4499,2018-03-26,11.562968046404421
512,3003946,AJ,6,160059,233,233,228,C,ADLD,141002,2018-02-17,2018-02-13,2018-03-21,4437,2018-03-29,13.931795653887093
513,2962440,AE,1,400059,233,245,131,B,ADLD,394210,2018-01-31,2017-05-25,2018-03-10,4015,2018-03-19,19.366992403753102
514,2943050,AD,4,600024,233,233,228,A,ADLD,600118,2017-10-27,2016-06-25,2018-03-05,4488,2018-03-09,14.731182328425348
515,2994280,Y,26,560066,308,233,131,A,ADLD,560037,2017-06-02,2017-05-30,2018-03-18,5001,2018-03-20,11.076633640564978
516,3025655,AN,22,400104,233,233,131,B,ADLD,384002,2017-06-28,2017-06-24,2018-03-27,4581,2018-03-31,12.337909474037588
517,2856203,C,6,160059,233,233,228,B,ADLD,160103,2018-01-18,2018-01-03,2018-02-09,4549,2018-02-12,15.518094348721206
518,2898673,AN,2,110018,233,233,131,A,ADLD,110085,2017-06-30,2017-06-28,2018-02-22,4147,2018-02-26,12.028739209286869
519,2906662,AJ,2,110018,308,233,131,A,ADLD,122001,2017-07-29,2017-07-18,2018-02-25,4388,2018-03-05,11.877175814472139
520,2939509,AN,7,500004,233,233,131,A,ADLD,500084,2017-05-22,2017-05-19,2018-03-05,4403,2018-03-09,12.172846454195678
521,3009705,AN,21,110015,233,233,228,B,ADLD,180012,2018-02-15,2018-01-09,2018-03-23,4580,2018-03-26,14.863126614131033
522,2860907,AN,21,110015,233,233,131,A,ADLD,110034,2017-07-06,2017-07-05,2018-02-11,4580,2018-02-13,9.693605993874371
523,2865502,J,21,110015,233,233,131,0,ADLD,0,2017-06-17,2017-06-13,2018-02-13,4580,2018-02-15,16.13495968375355
524,2865502,J,21,110015,233,233,131,A,ADLD,110025,2017-06-17,2017-06-13,2018-02-13,4580,2018-02-15,11.405060560442507
525,2865502,AN,21,110015,233,233,131,A,ADLD,110025,2017-06-17,2017-05-05,2018-02-13,4580,2018-02-15,10.24401615280658
526,2865502,AN,21,110015,233,233,131,0,ADLD,0,2017-06-17,2017-05-05,2018-02-13,4580,2018-02-15,15.103527410887182
527,2884038,AJ,12,302006,233,233,228,A,ADLD,302001,2017-09-29,2017-03-08,2018-02-18,4453,2018-02-21,11.522340125404298
528,2926865,C,3,560011,233,233,228,A,ADLD,560097,2017-12-15,2017-03-29,2018-03-01,4469,2018-03-06,12.652829381637275
529,3024359,AJ,27,110034,308,233,228,A,ADLD,110051,2018-02-17,2016-12-16,2018-03-27,4388,2018-04-03,11.22208699118346
530,3044401,C,2,110018,233,233,131,B,ADLD,124001,2018-02-28,2017-10-03,2018-04-01,4550,2018-04-03,14.972721569240093
531,3000644,AN,21,110015,233,233,131,B,ADLD,131028,2017-11-10,2018-04-11,2018-03-20,4580,2018-04-01,13.300766888074577
532,3065947,AN,22,400104,233,233,131,B,ADLD,431601,2017-07-24,2017-07-20,2018-04-08,4581,2018-04-10,11.17682612594217
533,2827514,AN,21,110015,233,245,131,A,ADLD,110070,2017-05-16,2017-05-13,2018-02-01,4580,2018-02-05,9.42492985073477
534,2991249,AA,24,110092,233,245,131,A,ADLD,110086,2017-04-22,2017-04-20,2018-03-17,4150,2018-03-24,13.546506089158356
535,2869637,AN,21,110015,233,233,131,B,ADLD,248007,2017-12-28,2017-06-22,2018-02-14,4580,2018-02-17,13.687006476335227
536,2840650,C,1,400059,0,0,131,A,ADLD,400053,2017-11-22,2017-11-20,2018-02-05,4545,2018-02-08,3.8406676184386015
537,2883620,C,11,641012,233,233,228,A,ADLD,641035,2018-02-02,2017-04-15,2018-02-18,4492,2018-02-21,10.504370932467282
538,3063850,AN,7,500004,233,233,131,A,ADLD,500079,2017-05-19,2017-05-17,2018-04-07,4403,2018-04-18,8.03287266381085
539,2886273,AN,17,800001,233,233,131,A,ADLD,800013,2017-07-29,2017-07-27,2018-02-19,4538,2018-02-21,10.673220050521195
540,3019633,AJ,25,560037,233,233,131,A,ADLD,560068,2018-02-22,2017-10-29,2018-03-26,4460,2018-03-31,10.265357280150056
541,3054023,C,5,380009,233,233,228,A,ADLD,380055,2018-03-01,2018-02-26,2018-04-04,4546,2018-04-10,10.07610167004168
542,2883881,C,6,160059,233,233,131,C,ADLD,143001,2018-01-19,2017-02-12,2018-02-18,4549,2018-02-21,13.757854077033699
543,2945175,AN,21,110015,233,233,131,B,ADLD,132103,2017-11-11,2017-11-08,2018-03-06,4580,2018-03-12,15.63398324418813
544,2921054,AN,21,110015,233,233,131,B,ADLD,342001,2017-07-31,2017-07-29,2018-02-27,4580,2018-03-03,13.63942330610007
545,2830791,AN,7,500004,233,233,131,C,ADLD,507115,2017-10-06,2017-09-30,2018-02-02,4403,2018-02-10,13.06754197832197
546,2951098,Y,12,302006,233,233,131,B,ADLD,313001,2018-02-27,2018-02-25,2018-03-07,4668,2018-03-15,19.335313173942268
547,3025629,AN,7,500004,233,233,131,A,ADLD,500016,2018-01-02,2018-01-01,2018-03-27,4403,2018-04-04,9.469199969433248
548,3058004,AN,21,110015,308,233,131,A,ADLD,122018,2017-10-16,2017-10-13,2018-04-05,4580,2018-04-12,9.263146669603884
549,2894422,AN,3,560011,233,245,131,A,ADLD,560037,2017-02-27,2017-02-08,2018-02-21,4467,2018-02-24,10.944028856232762
550,2901320,C,3,560011,233,245,131,A,ADLD,560008,2017-04-09,2017-04-06,2018-02-23,4461,2018-02-26,10.921091708354652
551,2843754,AF,1,400059,233,233,131,A,ADLD,400004,2017-02-18,2017-02-15,2018-02-06,4019,2018-02-10,14.840166858397424
552,2843203,AJ,1,400059,233,233,228,A,ADLD,400612,2017-06-21,2016-09-12,2018-02-06,4398,2018-02-12,11.885228327475488
553,2859463,AM,2,110018,233,233,131,A,ADLD,121003,2017-02-24,2017-02-08,2018-02-10,4092,2018-02-15,15.123798419721425
554,2886084,AE,1,400059,233,233,131,A,ADLD,401303,2017-02-25,2017-02-25,2018-02-19,4015,2018-02-23,15.527584462426603
555,2866387,AN,21,110015,233,233,131,B,ADLD,334001,2017-08-31,2017-08-25,2018-02-13,4580,2018-02-24,14.649183434434235
556,2907324,AN,21,110015,233,233,131,A,ADLD,302012,2017-03-07,2017-03-03,2018-02-26,4580,2018-03-06,11.817334496416152
557,2889057,AN,6,160059,233,233,131,B,ADLD,160047,2017-03-14,2017-03-09,2018-02-20,4673,2018-03-08,15.812937115319073
558,2933663,C,2,110018,308,233,228,A,ADLD,122003,2017-10-15,2017-07-01,2018-03-03,4091,2018-03-17,13.106949194334447
559,2973581,AN,22,400104,233,233,131,A,ADLD,400604,2016-09-01,2016-08-30,2018-03-13,4581,2018-03-21,12.34715165477246
560,3029501,AJ,27,110034,233,233,228,B,ADLD,342008,2017-05-19,2017-05-19,2018-03-28,4388,2018-04-06,11.87283159326762
561,2899996,AJ,3,560011,233,245,131,A,ADLD,560066,2018-01-24,2018-01-24,2018-02-23,4460,2018-02-26,12.421776828356087
562,2855179,C,2,110018,233,233,131,A,ADLD,110093,2017-11-29,2017-11-22,2018-02-09,4094,2018-02-14,12.26377792749554
563,3030476,AN,7,500004,233,233,131,B,ADLD,520002,2017-08-26,2017-07-08,2018-03-28,4403,2018-04-02,11.831853502430022
564,2938992,AN,21,110015,233,233,131,C,ADLD,141003,2017-10-12,2017-10-10,2018-03-04,4580,2018-03-11,13.963311127386987
565,3073790,AN,21,110015,233,233,131,A,ADLD,110062,2017-10-23,2017-10-16,2018-04-11,4580,2018-04-14,8.125333626754582
566,2900218,AN,21,110015,201,233,131,D,ADLD,124146,2017-03-04,2017-03-02,2018-02-23,4580,2018-02-27,16.27009626571089
567,2930437,AN,21,110015,233,233,131,B,ADLD,136038,2017-08-01,2017-07-29,2018-03-02,4580,2018-03-07,15.49055867921561
568,3023784,AJ,27,110034,233,233,228,A,ADLD,121005,2017-09-18,2017-07-19,2018-03-27,4388,2018-04-06,10.151885543949902
569,2860965,AJ,2,110018,233,233,228,B,ADLD,135003,2017-04-26,2016-11-27,2018-02-11,4388,2018-02-20,16.173408682458103
570,2928767,AN,21,110015,233,245,131,A,ADLD,110001,2017-03-27,2016-05-12,2018-03-01,4580,2018-03-10,13.437315191142261
571,2840328,C,2,110018,233,233,131,A,ADLD,110024,2017-04-04,2017-04-02,2018-02-05,4091,2018-02-16,12.583775149658322
572,2821067,AI,12,302006,233,233,131,B,ADLD,313001,2017-12-13,2017-12-13,2018-01-30,4407,2018-02-01,17.39036959502846
573,2850925,AJ,6,160059,233,233,228,C,ADLD,141001,2017-04-26,2016-12-28,2018-02-08,4437,2018-02-13,14.299676603637636
574,2867878,AN,17,800001,233,233,131,B,ADLD,848101,2018-01-10,2017-02-20,2018-02-14,4538,2018-02-19,14.968523460440338
575,3058072,AD,3,560011,233,245,228,A,ADLD,560079,2018-03-01,2017-07-23,2018-04-05,5146,2018-04-09,10.81517359893769
576,2824553,AJ,3,560011,233,233,228,A,ADLD,560076,2017-12-29,2017-12-28,2018-01-31,4667,2018-02-03,10.245319514535367
577,2969868,AN,21,110015,233,233,131,A,ADLD,110088,2016-04-29,2016-04-01,2018-03-11,4580,2018-03-14,14.165693459101021
578,2958112,AN,21,110015,233,233,131,A,ADLD,110009,2017-10-02,2017-09-28,2018-03-09,4580,2018-03-15,10.789666638709605
579,2873570,AJ,7,500004,233,233,228,A,ADLD,500003,2017-07-18,2017-06-30,2018-02-15,4474,2018-03-18,13.18507128302008
580,2975939,C,2,110018,233,233,131,A,ADLD,110051,2017-12-21,2017-12-21,2018-03-13,4550,2018-03-15,12.15606386307627
581,2953045,AN,22,400104,233,233,131,A,ADLD,411014,2017-05-08,2017-05-06,2018-03-07,4581,2018-03-13,11.251765109598637
582,3001266,AJ,6,160059,233,233,131,B,ADLD,125055,2017-09-26,2017-09-21,2018-03-20,4437,2018-03-23,13.760139326564968
583,3003981,AN,17,800001,233,233,131,C,ADLD,834004,2017-05-09,2017-05-06,2018-03-21,4538,2018-03-26,12.39016813505441
584,3060416,AN,22,400104,233,233,131,A,ADLD,400071,2017-09-08,2017-09-05,2018-04-06,4581,2018-04-11,8.641765682958066
585,3043846,C,2,110018,233,233,228,A,ADLD,121003,2018-03-08,2016-12-25,2018-03-31,4550,2018-04-07,10.10513996053487
586,3047010,AN,26,560066,233,233,131,A,ADLD,600125,2017-06-03,2017-05-23,2018-04-02,5001,2018-04-11,9.68393697310239
587,3007440,AN,22,400104,233,233,131,A,ADLD,411001,2017-07-17,2017-07-13,2018-03-22,4581,2018-04-09,8.79501782450825
588,2822700,AN,21,110015,233,233,131,C,ADLD,122050,2017-09-17,2017-09-09,2018-01-31,4580,2018-02-02,11.807935044169426
589,2822700,AA,21,110015,233,233,131,C,ADLD,122050,2017-09-17,2016-01-01,2018-01-31,4580,2018-02-02,17.731668426655233
590,2949641,AN,21,110015,201,233,131,0,ADLD,250341,2016-11-07,2016-11-04,2018-03-07,4580,2018-03-10,17.063553866930306
591,3012071,AA,7,500004,233,233,228,A,ADLD,500042,2018-03-07,2018-02-04,2018-03-23,4479,2018-03-27,15.143766236491501
592,3085603,AN,7,500004,233,233,131,A,ADLD,500038,2017-12-15,2017-12-13,2018-04-14,4403,2018-04-18,7.8651873311027884
593,2836788,AN,21,110015,233,233,131,B,ADLD,140413,2017-03-01,2017-02-24,2018-02-03,4580,2018-02-06,14.960547029040754
594,3048394,AN,22,400104,233,233,131,B,ADLD,390002,2017-10-04,2017-09-30,2018-04-02,4581,2018-04-08,12.3205436039716
595,2944456,AN,4,600024,233,233,131,A,ADLD,600016,2017-04-13,2017-04-12,2018-03-06,4490,2018-03-08,11.78917265497148
596,3059906,AI,23,400001,233,233,131,B,ADLD,390001,2018-02-14,2018-02-14,2018-04-06,4398,2018-04-09,15.373581035993993
597,3047377,AN,26,560066,233,233,228,A,ADLD,560068,2018-03-12,2018-01-29,2018-04-02,5001,2018-04-12,10.90181854646653
598,3083483,AN,17,800001,233,233,131,A,ADLD,800013,2016-06-06,2016-06-02,2018-04-14,4410,2018-04-17,9.550040264613926
